Standard,Number,d13Cmean,d13Csd,Session,Known value,Known sd,,,srm
CH6,5,-10.449,0.036363667,181206,-10.449,0.033,,,0.005289265
CH7,5,-32.151,0.071351398,181206,-31.151,0.05,,,0.020364088
P2,5,-28.31487376,0.034262621,181206,-28.19,0.14,,,0.004695709
SALANINE,10,-27.17046871,0.036814246,181206,-27.11,0.1246,,,0.012197598
CH6,4,-10.449,0.051502377,181129,-10.449,0.033,,,0.007957485
CH7,4,-32.151,0.089521997,181129,-31.151,0.05,,,0.024042564
P2,4,-28.28106596,0.03899766,181129,-28.19,0.14,,,0.004562453
SALANINE,8,-27.14810581,0.02761603,181129,-27.11,0.1246,,,0.005338516
CH6,4,-10.449,0.05686288,181213,-10.449,0.033,,,0.009700161
CH7,4,-32.151,0.069320435,181213,-31.151,0.05,,,0.014415968
P2,4,-28.29377434,0.067469087,181213,-28.19,0.14,,,0.013656233
SALANINE,8,-27.17078377,0.074228998,181213,-27.11,0.1246,,,0.038569609
CH6,6,-10.449,0.052181736,181219,-10.449,0.033,,,0.013614668
CH7,6,-32.151,0.063631293,181219,-31.151,0.05,,,0.020244707
P2,6,-28.25024688,0.054270542,181219,-28.19,0.14,,,0.014726459
SALANINE,12,-27.13443793,0.036813191,181219,-27.11,0.1246,,,0.014907322
CH6,5,-10.449,0.030754082,181031,-10.449,0.033,,,0.003783254
CH7,4,-32.151,0.009463912,181031,-31.151,0.05,,,0.000268697
P2,5,-28.33247936,0.046929547,181031,-28.19,0.14,,,0.00880953
SALANINE,7,-27.22507769,0.072568533,181031,-27.11,0.1246,,,0.031597152
CH6,4,-10.449,0.011258805,190402,-10.449,0.033,,,0.000380282
CH7,4,-32.151,0.061707499,190402,-31.151,0.05,,,0.011423446
P2,3,-28.25314093,0.029100975,190402,-28.19,0.14,,,0.001693733
SALANINE,4,-27.16363588,0.023573202,190402,-27.11,0.1246,,,0.001667088
CH6,4,-10.449,0.106716262,190308,-10.449,0.033,,,0.034165082
CH7,4,-32.151,0.068980794,190308,-31.151,0.05,,,0.01427505
P2,4,-28.26464835,0.114391217,190308,-28.19,0.14,,,0.039256052
SALANINE,8,-27.14205386,0.02608222,190308,-27.11,0.1246,,,0.004761976
CH6,3,-10.449,0.121305019,190117,-10.449,0.033,,,0.029429815
CH7,3,-32.151,0.33373688,190117,-31.151,0.05,,,0.22276061
P2,3,-28.32500095,0.072308008,190117,-28.19,0.14,,,0.010456896
SALANINE,5,-27.22624603,0.084589654,190117,-27.11,0.1246,,,0.028621638
Standard,Number,d15Nmean,d15Nsd,Session,,,,,srm
N1,4,0.408885283,0.358785888,190405,0.4,0.2,,,0.386181939
N2,3,20.28815296,0.400218523,190405,20.3,0.2,,,0.320349732
P2,3,-0.888970524,0.16910356,190405,-1.57,0.19,,,0.057192028
SALANINE,5,-1.195110372,0.154405147,190405,-1.57,0.21,,,0.095363797
N1,5,0.409655527,0.33905866,190322,0.4,0.2,,,0.4598431
N2,6,20.29195373,0.316236368,190322,20.3,0.2,,,0.500027201
P2,5,-1.104816722,0.061190424,190322,-1.57,0.19,,,0.014977072
SALANINE,12,-1.192429808,0.207245992,190322,-1.57,0.21,,,0.472459913
N1,6,0.402559009,0.147348615,190222,0.4,0.2,,,0.108558072
N2,6,20.29744099,0.19844849,190222,20.3,0.2,,,0.196909016
P2,6,-1.375649427,0.072945043,190222,-1.57,0.19,,,0.026604896
SALANINE,12,-1.427408982,0.144913331,190222,-1.57,0.21,,,0.230998607
N1,4,0.40722138,0.1553819,190208,0.4,0.2,,,0.072430604
N2,6,20.29518575,0.316873338,190208,20.3,0.2,,,0.502043561
P2,4,-1.068565829,0.100520107,190208,-1.57,0.19,,,0.030312875
SALANINE,8,-1.276730657,0.190054081,190208,-1.57,0.21,,,0.252843875
N1,2,0.402964379,0.005584331,200825,0.4,0.2,,,3.12E-05
N2,2,20.29703562,0.343388922,200825,20.3,0.2,,,0.117915952
P2,3,-1.299325939,0.217100248,200825,-1.57,0.19,,,0.094265036
SALANINE,5,-1.301942051,0.297567555,200825,-1.57,0.21,,,0.354185799
N1,5,0.418014054,0.343369748,181210,0.4,0.2,,,0.471611135
N2,5,20.28198595,0.573921207,181210,20.3,0.2,,,1.317542209
P2,4,-0.852258134,0.1641542,181210,-1.57,0.19,,,0.080839804
SALANINE,8,-0.949110301,0.168131251,181210,-1.57,0.21,,,0.197876823
LEU,4,6.814741531,0.14543627,200827,6.36,0.14,,,0.063455126
P2,4,-1.563787072,0.372216991,200827,-1.57,0.19,,,0.415636466
SALANINE,8,-1.463014561,0.264834831,200827,-1.57,0.21,,,0.490962415
SEAL,4,16.29378707,0.096875895,200827,16.3,0.2,,,0.028154817
N1,3,0.400534655,0.028708397,181112,0.4,0.2,,,0.001648344
N2,3,20.29946535,0.123021998,181112,20.3,0.2,,,0.030268824
P2,5,-0.625177346,0.206815986,181112,-1.57,0.19,,,0.171091408
SALANINE,7,-0.954473037,0.209016632,181112,-1.57,0.21,,,0.262127715
N1,4,0.410076386,0.307239818,190214,0.4,0.2,,,0.283188918
N2,5,20.29193889,0.359916773,190214,20.3,0.2,,,0.518160334
P2,4,-1.246950887,0.16206851,190214,-1.57,0.19,,,0.078798605
SALANINE,8,-1.232208204,0.206058241,190214,-1.57,0.21,,,0.297219992