,ID,RunfileC,normd13C_DulpA,normd13C_DulpB,Sd,Mean,Number,RepSsrm
59,OAT24524C,181206,-27.49932387,-27.4895813,0.006889037,-27.49445259,2,4.75E-05
201,OAT26024C,181213,-27.30200806,-27.40036091,0.069545967,-27.35118449,2,0.004836642
202,OAT30024C,181219,-27.66144896,-27.59416953,0.047573744,-27.62780924,2,0.002263261
203,RYE2154E,181031,-25.82037348,-25.75069001,0.04927366,-25.78553174,2,0.002427894
19,RYE2304E,181129,-25.26948169,-25.28848147,0.013434874,-25.27898158,2,0.000180496
39,RYE2458C,181206,-25.84927837,-25.74805203,0.071577831,-25.7986652,2,0.005123386
44,RYE26024C,181213,-25.33037722,-25.30817545,0.015699024,-25.31927633,2,0.000246459
441,RYE30024C,181219,-25.11906585,-25.09342478,0.018130975,-25.10624531,2,0.000328732
58,SPT21524C,181031,-27.4519716,-27.31994523,0.093356745,-27.38595842,2,0.008715482
37,SPT2158C,181031,-27.06451356,-27.02432603,0.028416875,-27.04441979,2,0.000807519
48,SPT23024C,181129,-27.15429183,-27.08900273,0.046166361,-27.12164728,2,0.002131333
57,SPT2308D,181129,-27.08910814,-27.0271897,0.043782949,-27.05814892,2,0.001916947
20,SPT2454D,181206,-26.98197801,-27.08162303,0.070459669,-27.03180052,2,0.004964565
61,SPT26024C,181213,-27.32792464,-27.45967096,0.093158715,-27.3937978,2,0.008678546
611,SPT30024C,181219,-26.9435985,-26.81993537,0.087443035,-26.88176694,2,0.007646284
62,STM003,181031,-23.59951936,-23.52090233,0.055590636,-23.56021084,2,0.003090319
64,STM013,181031,-23.16872665,-22.92298311,0.173766929,-23.04585488,2,0.030194946
67,STM020,181031,-25.65768164,-25.69170036,0.024054874,-25.674691,2,0.000578637
70,STM021,181031,-21.98625032,-21.93746662,0.034495285,-21.96185847,2,0.001189925
26,YAR001,190402,-22.53683753,-22.58080602,0.03109042,-22.55882178,2,0.000966614
16,RC2018,190308,-26.0140118,-26.14179241,0.090354535,-26.0779021,2,0.008163942
43,WHXX3D,190308,-25.02242407,-25.02068606,0.00122896,-25.02155507,2,1.51E-06