"","ID","RunfileN","normd15N"
"214","LEU",200827,6.975080422
"40","LEU",200827,6.891638598
"482","LEU",200827,6.739094223
"61","LEU",200827,6.65315288
"8","N1",190405,0.629015930399157
"16","N1",190405,-0.0912632574058169
"38","N1",190405,0.704410892082752
"46","N1",190405,0.393377566676724
"19","N1",190322,0.756132733424892
"42","N1",190322,0.305743490888455
"59","N1",190322,0.731384635327972
"76","N1",190322,-0.054529106561878
"94","N1",190322,0.309545880216505
"18","N1",190222,0.269250022463079
"391","N1",190222,0.640093700748629
"53","N1",190222,0.325943642735536
"631","N1",190222,0.398638495925081
"74","N1",190222,0.509453657920256
"91","N1",190222,0.271974533962286
"82","N1",190208,0.472135624040966
"342","N1",190208,0.500388510406097
"562","N1",190208,0.174815489954496
"652","N1",190208,0.481545894224881
"5","N1",200825,0.399015660574228
"12","N1",200825,0.406913097551202
"84","N1",181210,-0.00483995809567705
"213","N1",181210,0.285943727540236
"423","N1",181210,0.285667861262147
"563","N1",181210,0.865757775439294
"661","N1",181210,0.657540865500346
"282","N1",181112,0.403802544566423
"452","N1",181112,0.370332148006304
"512","N1",181112,0.42746927140434
"88","N1",190214,0.483753489704735
"344","N1",190214,0.813346162591667
"483","N1",190214,0.145193423220795
"64","N1",190214,0.198012466863496
"9","N2",190405,19.9285508040131
"20","N2",190405,20.7193294193149
"41","N2",190405,20.2165786449193
"101","N2",190322,19.8587273856593
"34","N2",190322,20.3087429243694
"52","N2",190322,20.654673648739
"63","N2",190322,20.5987475061248
"83","N2",190322,20.3302611759101
"93","N2",190322,20.0005697259016
"11","N2",190222,20.2331379927715
"31","N2",190222,20.1693129503686
"461","N2",190222,20.5159139667861
"571","N2",190222,20.0993020936904
"81","N2",190222,20.576568729371
"951","N2",190222,20.1904102132576
"97","N2",190208,19.6836457263293
"13","N2",190208,20.2492865780179
"211","N2",190208,20.4687659090313
"422","N2",190208,20.5573072297165
"481","N2",190208,20.3704587571522
"60","N2",190208,20.4416502811264
"98","N2",200825,20.0542229855909
"181","N2",200825,20.5398482562837
"99","N2",181210,19.8067227646667
"131","N2",181210,19.8120049972885
"343","N2",181210,19.9814281223929
"492","N2",181210,20.8577765808896
"601","N2",181210,20.951997263116
"112","N2",181112,20.437405873903
"352","N2",181112,20.2011059692296
"564","N2",181112,20.2598841928904
"910","N2",190214,20.6061278204955
"132","N2",190214,19.9570874035943
"215","N2",190214,19.9946742485303
"424","N2",190214,20.7410877874802
"595","N2",190214,20.160717197519
"10","P2",190405,-0.947587675131977
"26","P2",190405,-0.698357775751266
"47","P2",190405,-1.02096612214485
"27","P2",190322,-1.1472955431474
"35","P2",190322,-1.14024284540539
"56","P2",190322,-1.15773863032686
"62","P2",190322,-1.05612230612488
"92","P2",190322,-1.0226842854941
"25","P2",190222,-1.3571344338988
"33","P2",190222,-1.43306109163632
"491","P2",190222,-1.31624913703136
"561","P2",190222,-1.38507202009524
"68","P2",190222,-1.47939232664464
"85","P2",190222,-1.28298755176268
"28","P2",190208,-1.02507175343036
"36","P2",190208,-1.17620996760217
"51","P2",190208,-1.12244504438211
"592","P2",190208,-0.950536551009794
"3","P2",200825,-1.39423450697141
"111","P2",200825,-1.05093188695623
"212","P2",200825,-1.45281142410457
"281","P2",181210,-1.05225334715031
"361","P2",181210,-0.823157034294955
"521","P2",181210,-0.654133561026577
"593","P2",181210,-0.87948859429699
"102","P2",200827,-1.754677836
"331","P2",200827,-1.888073392
"441","P2",200827,-1.572029164
"511","P2",200827,-1.040367897
"191","P2",181112,-0.910687834608222
"374","P2",181112,-0.540641235343227
"463","P2",181112,-0.348409239690863
"602","P2",181112,-0.624630191416172
"71","P2",181112,-0.701518230447006
"283","P2",190214,-1.4187669763037
"362","P2",190214,-1.05629800995302
"513","P2",190214,-1.17651971839019
"58","P2",190214,-1.33621884180143
"14","SALANINE",190405,-1.05741785956382
"24","SALANINE",190405,-1.17478749623543
"32","SALANINE",190405,-1.45230006919089
"39","SALANINE",190405,-1.09588836213359
"48","SALANINE",190405,-1.19515807443004
"141","SALANINE",190322,-1.42430303084813
"23","SALANINE",190322,-1.06487974808628
"30","SALANINE",190322,-1.42462757878608
"37","SALANINE",190322,-1.14487907469799
"43","SALANINE",190322,-1.38826912302561
"49","SALANINE",190322,-1.18256521274139
"57","SALANINE",190322,-0.892154398719649
"65","SALANINE",190322,-1.19204534782541
"72","SALANINE",190322,-1.15958334049741
"78","SALANINE",190322,-0.772536213590471
"87","SALANINE",190322,-1.35881327769597
"95","SALANINE",190322,-1.30450134541187
"142","SALANINE",190222,-1.62857766203892
"21","SALANINE",190222,-1.40624923705309
"271","SALANINE",190222,-1.59579468980683
"341","SALANINE",190222,-1.45947660656022
"421","SALANINE",190222,-1.14871685132181
"50","SALANINE",190222,-1.23906179723267
"591","SALANINE",190222,-1.47075759165829
"651","SALANINE",190222,-1.55473839862575
"69","SALANINE",190222,-1.49846873492636
"77","SALANINE",190222,-1.35839702835488
"86","SALANINE",190222,-1.29505647903634
"96","SALANINE",190222,-1.47361270662639
"161","SALANINE",190208,-1.35845825724656
"241","SALANINE",190208,-1.14917144318317
"301","SALANINE",190208,-1.15513848536448
"371","SALANINE",190208,-1.4956521880917
"44","SALANINE",190208,-1.39509456879774
"531","SALANINE",190208,-1.45486320886058
"621","SALANINE",190208,-1.27721939954496
"66","SALANINE",190208,-0.928247704304935
"2","SALANINE",200825,-1.19171448861355
"7","SALANINE",200825,-1.08641841879505
"15","SALANINE",200825,-1.14485517369671
"231","SALANINE",200825,-1.26556380642872
"351","SALANINE",200825,-1.82115836835379
"162","SALANINE",181210,-0.686204856513746
"242","SALANINE",181210,-1.11321849543991
"302","SALANINE",181210,-0.924188769079608
"372","SALANINE",181210,-1.01930437169599
"45","SALANINE",181210,-0.707811131142959
"532","SALANINE",181210,-0.970437206131713
"622","SALANINE",181210,-1.0957919824661
"67","SALANINE",181210,-1.07592559380619
"143","SALANINE",200827,-1.603302204
"22","SALANINE",200827,-0.973501969
"303","SALANINE",200827,-1.840676264
"381","SALANINE",200827,-1.42689868
"462","SALANINE",200827,-1.356134655
"54","SALANINE",200827,-1.528951912
"623","SALANINE",200827,-1.299211856
"681","SALANINE",200827,-1.675438949
"144","SALANINE",181112,-0.892071726469319
"232","SALANINE",181112,-0.804108000646837
"311","SALANINE",181112,-1.02707182913481
"401","SALANINE",181112,-0.884333189000967
"471","SALANINE",181112,-0.94091120123445
"541","SALANINE",181112,-1.38278663876422
"611","SALANINE",181112,-0.750028670298721
"163","SALANINE",190214,-1.36148621008732
"243","SALANINE",190214,-1.51964452287048
"304","SALANINE",190214,-1.13530404955964
"375","SALANINE",190214,-0.886115734313854
"442","SALANINE",190214,-1.09968801456911
"533","SALANINE",190214,-1.35692402182843
"612","SALANINE",190214,-1.38157794000651
"653","SALANINE",190214,-1.11692513835846
"373","SEAL",200827,16.16362077
"451","SEAL",200827,16.39718356
"501","SEAL",200827,16.29816072
"594","SEAL",200827,16.31618324
