,ID,RunfileN,normd15N_DulpA,normd15N_DulpB,Sd,Mean,Number,RepSsrm
202,SM002,181112,5.758322636,5.780167132,0.015446391,5.769244884,2,0.000238591
38,STT002,181112,4.735465792,4.564652718,0.120783083,4.650059255,2,0.014588553
59,STT009,181112,8.394420556,8.446576635,0.036879917,8.420498596,2,0.001360128
221,RYE2304E,181210,4.344160937,4.089740237,0.179902602,4.216950587,2,0.032364946
43,SPT23024C,181210,6.827990626,7.056605555,0.161655167,6.942298091,2,0.026132393
612,SPT2308D,181210,6.796406591,6.830150583,0.023860605,6.813278587,2,0.000569328
22,SPT2454D,190208,6.40084398,6.036609258,0.257552842,6.218726619,2,0.066333466
41,R_245_C8C,190208,3.652548164,3.716904682,0.045506931,3.684726423,2,0.002070881
611,OAT24524C,190208,4.251071759,4.249925531,0.000810505,4.250498645,2,6.57E-07
222,SPT2604C,190214,6.325951272,5.937464562,0.274701587,6.131707917,2,0.075460962
411,RYE2608C,190214,4.101026193,4.367675706,0.188549679,4.234350949,2,0.035550982
60,OAT26024C,190214,4.692691491,4.358070652,0.236612664,4.525381072,2,0.055985553
201,OAT30024C,190222,4.801430845,5.032004079,0.163039897,4.916717462,2,0.026582008
44,RYE30024C,190222,3.352252656,3.270315326,0.057938441,3.311283991,2,0.003356863
61,SPT30024C,190222,6.171997502,6.032672707,0.098517507,6.102335104,2,0.009705699
20,YAR010,190322,8.140147356,8.074320971,0.046546283,8.107234163,2,0.002166556
40,YAR020,190322,8.609613339,8.64048886,0.021832291,8.625051099,2,0.000476649
64,OAT2304B,190322,3.586172271,3.600196185,0.009916405,3.593184228,2,9.83E-05
27,YAR004,190405,4.641666614,4.593720693,0.033902886,4.617693653,2,0.001149406
37,RC2018RYE24526C,190405,3.482871418,3.793195813,0.219432484,3.638033616,2,0.048150615
31,RYE2458B,200825,2.766905112,2.683854109,0.058725928,2.725379611,2,0.003448735
24,LT058,200827,3.592936721,3.18109799,0.291213959,3.387017355,2,0.08480557
42,BT134,200827,5.710572132,5.941349726,0.163184402,5.825960929,2,0.026629149
66,SPT0C,200827,5.21286756,4.811724706,0.283650833,5.012296133,2,0.080457795