"","ID","ID","Cugdc","RunfileC","pcC","CN_Crun","normd13C","d13Csd","Nugdc","RunfileN","pcN","normd15N","d15Nsd"
"2","BAR0B",NA,384.6219724,190259.5,35.9459787297197,33.7544780289839,-26.2412109216726,0.164944050710954,62.83057892,190405,0.151398985,0.380940451,0.444977912
"3","BAR0B",NA,NA,NA,NA,NA,NA,NA,75.6832776,190322,1.81060472727273,1.02663973337107,0.438738504099509
"4","BAR0B",NA,NA,NA,NA,NA,NA,NA,66.72636393,190322,1.63545009632353,0.968388412490275,0.439740145419175
"46","OAT2304B",NA,500.8279214,181129,63.3959394177215,22.3888554115738,-27.6652664561796,0.0870673409566226,121.7761307,181210,5.34105836403509,3.74871609549666,0.388302333380176
"47","OAT2304B",NA,NA,NA,NA,NA,NA,NA,80.3612869,190275,3.43274351878815,2.79329213775504,0.376059955025788
"48","OAT2304B",NA,NA,NA,NA,NA,NA,NA,81.03978944,190275,3.39291947213689,3.04754171315402,0.373117970700009
"55","OAT24524C",NA,525.8907306,181206,61.8694977176471,21.2642943515707,-27.4993238713059,0.0785636257208093,102.428334,190208,4.3401836440678,4.24617656876718,0.288634112751832
"56","OAT24524C",NA,463.5058875,181206,61.800785,20.6936922841,-27.4895812955235,0.0785323503697189,112.3854133,190208,4.55001673279352,4.24502964752132,0.288639210027887
"57","OAT2454A",NA,559.3487807,181206,65.8057389058824,23.3874748807896,-28.1351285949033,0.080632655466778,84.65934437,190208,3.63344825622318,3.9245114618425,0.290150802340978
"58","OAT2454A",NA,NA,NA,NA,NA,NA,NA,144.8951764,190228,6.16575218723404,3.70012796193479,0.334947556618576
"59","OAT2454A",NA,NA,NA,NA,NA,NA,NA,118.7452902,190228,5.11833147413793,3.51241540857861,0.33686674914327
"60","OAT2454B",NA,538.3284546,181206,63.3327593647059,24.6224133934962,-27.5389524514002,0.0786909769843742,88.51259942,190208,3.68802497583333,3.28196622140631,0.293695380870875
"61","OAT2454B",NA,NA,NA,NA,NA,NA,NA,142.6628431,190228,5.8229731877551,3.05010531700434,0.341741968898896
"62","OAT2454B",NA,NA,NA,NA,NA,NA,NA,136.2340145,190228,5.56057202040816,2.85602587047347,0.343849930975554
"63","OAT2454C",NA,486.2537346,181206,58.5847873012048,27.3032330673122,-27.7694698556624,0.0794360735815562,88.20508479,190208,3.69058932175732,3.6365393799114,0.291655458793485
"64","OAT2454C",NA,NA,NA,NA,NA,NA,NA,99.57229625,190228,3.98289185,3.3451335828115,0.338606670147756
"65","OAT2454C",NA,NA,NA,NA,NA,NA,NA,77.84377294,190228,3.19031856311475,3.28718633512862,0.339215813816454
"71","OAT26024C",NA,603.111977,181213,73.5502411,18.25638752,-27.30200806,0.100742178,93.10223197,190214,4.27074458577982,4.68652197838189,0.367265406441698
"72","OAT26024C",NA,436.4338036,181213,51.95640519,18.76485816,-27.40036091,0.100956146,97.71516112,190214,4.24848526608696,4.35159587726637,0.370681563782962
"81","OAT30024C",NA,456.9466232,181219,58.58290041,21.79751708,-27.66144896,0.075182503,105.0453574,190222,4.4136704789916,4.8000034593549,0.249995522382884
"82","OAT30024C",NA,580.751203,181219,71.69767938,20.86237267,-27.59416953,0.075000391,108.6564227,190222,4.70374124242424,5.03063600839691,0.248594855155555
"94","RC2018RYE24524C",NA,413.3587324,190308,66.6707632903226,34.3842584761874,-26.0140117997204,0.0736103628032366,NA,NA,NA,NA,NA
"95","RC2018RYE24524C",NA,477.7641661,190308,71.3080844925373,31.6785600913195,-26.1417924091856,0.0737532831174731,NA,NA,NA,NA,NA
"97","RC2018RYE24526C",NA,NA,NA,NA,NA,NA,NA,45.48107559,190405,2.19715341,3.477192033,0.3908034
"98","RC2018RYE24526C",NA,NA,NA,NA,NA,NA,NA,47.47654364,190405,2.158024711,3.787840068,0.386222827
"110","RYE2154E",NA,NA,NA,NA,NA,NA,NA,56.5337177,181112,1.44587513299233,3.76988054336738,0.270995572051017
"111","RYE2154E",NA,288.5172919,181031,43.0622823731343,38.5894581205919,-25.8203734839706,0.0820870412636186,NA,NA,NA,NA,NA
"112","RYE2154E",NA,320.5989438,181031,51.7095070645161,43.3599388955554,-25.7506900057392,0.082038757134046,NA,NA,NA,NA,NA
"121","RYE2304E",NA,479.9247776,181129,57.1339020952381,45.1272306835452,-25.2694816905489,0.0779233373854412,105.4029485,181210,2.33709420177384,4.33326789814707,0.383097703515279
"122","RYE2304E",NA,417.9369441,181129,56.4779654189189,47.9896371791947,-25.2884814718613,0.0779912752820025,102.7044239,181210,2.25228999780702,4.0783857450149,0.38523397159019
"132","RYE2458B",NA,485.5155105,181206,65.6102041216216,44.9780485377122,-25.2803773893144,0.0718166365409406,NA,NA,NA,NA,NA
"133","RYE2458B",NA,NA,NA,NA,NA,NA,NA,89.62850159,200825,2.462321472,2.764645226,0.404279763
"134","RYE2458B",NA,NA,NA,NA,NA,NA,NA,85.2545869,200825,2.304178024,2.681569472,0.404459175
"135","RYE2458C",NA,NA,NA,NA,NA,NA,NA,90.32691341,200825,2.364578885,3.000610967,0.403815412
"136","RYE2458C",NA,412.2636632,181206,55.7113058378378,39.9613345128091,-25.8492783718416,0.0734694858865905,NA,NA,NA,NA,NA
"137","RYE2458C",NA,498.0450617,181206,59.2910787738095,47.6092080698436,-25.7480520316806,0.0731712296721601,NA,NA,NA,NA,NA
"141","RYE26024C",NA,NA,NA,NA,NA,NA,NA,53.05884417,190214,2.57567204708738,4.5714957384736,0.368415970380848
"142","RYE26024C",NA,470.996856,181213,61.97327053,31.88505984,-25.33037722,0.096874772,NA,NA,NA,NA,NA
"143","RYE26024C",NA,589.1035012,181213,70.13136919,32.38001512,-25.30817545,0.096835993,NA,NA,NA,NA,NA
"149","RYE2608C",NA,512.0205945,181213,67.37113086,34.92969551,-25.20256698,0.096653044,NA,NA,NA,NA,NA
"150","RYE2608C",NA,NA,NA,NA,NA,NA,NA,63.83361527,190214,3.01101958820755,4.09431692509759,0.373440505366538
"151","RYE2608C",NA,NA,NA,NA,NA,NA,NA,54.83743633,190214,2.64915151352657,4.36120969317352,0.370580718301802
"154","RYE30024C",NA,583.9646613,181219,71.2152026,32.59445996,-25.11906585,0.068974387,108.3216236,190222,4.94619285844749,3.35045246450143,0.260292527172899
"155","RYE30024C",NA,499.3461238,181219,64.01873382,34.54491896,-25.09342478,0.068919448,95.0951674,190222,4.70768155445545,3.26849405613509,0.260948035818617
"167","SPT0C",NA,467.143914,190117,45.35377806,24.87242174,-26.96712263,0.275776665,NA,NA,NA,NA,NA
"168","SPT0C",NA,NA,NA,NA,NA,NA,NA,84.56800876,200827,2.082955881,5.079849804,NA
"169","SPT0C",NA,NA,NA,NA,NA,NA,NA,84.35491578,200827,2.087992965,4.679399577,NA
"172","SPT21524C",NA,NA,NA,NA,NA,NA,NA,82.45448456,181112,2.94480302,6.9855033076698,0.260742758914437
"173","SPT21524C",NA,405.7510475,181031,57.1480348591549,24.0802861604917,-27.4519716037845,0.0833730977540591,NA,NA,NA,NA,NA
"174","SPT21524C",NA,353.5769236,181031,53.5722611515151,25.4652385645349,-27.3199452289731,0.0832581038843356,NA,NA,NA,NA,NA
"180","SPT2158C",NA,NA,NA,NA,NA,NA,NA,49.31776745,181112,1.7613488375,6.21330190701364,0.262373114829197
"181","SPT2158C",NA,386.4086053,181031,58.5467583787879,23.8167781821701,-27.0645135558028,0.0830410208589748,NA,NA,NA,NA,NA
"182","SPT2158C",NA,437.5539944,181031,70.5732249032258,23.3640040662444,-27.0243260253327,0.0830075173485178,NA,NA,NA,NA,NA
"185","SPT23024C",NA,464.9690625,181129,60.3855925324675,22.6722540634178,-27.1542918268585,0.0850275779677408,104.6535674,181210,3.90498385820896,6.82160261151173,0.373648873813555
"186","SPT23024C",NA,517.1645209,181129,63.8474717160494,23.1270716771833,-27.0890027323494,0.0847701562261752,112.9260358,181210,4.34330906923077,7.05063218936079,0.373850778800406
"192","SPT2308D",NA,552.1107048,181129,67.3305737560976,22.9988614732779,-27.0891081431317,0.0847705712383296,76.63389788,181210,3.09007652741936,6.78996129170702,0.373635320070918
"193","SPT2308D",NA,550.3459391,181129,65.517373702381,22.4665796558008,-27.0271897030038,0.0845271294549906,78.9384808,181210,3.08353440625,6.82376648594006,0.373649927953902
"195","SPT24524B",NA,512.1524368,181206,65.6605688205128,26.9316971463697,-26.9353278055869,0.0767754861661866,86.57011995,190208,3.65274767721519,5.10127167812021,0.285463174621326
"196","SPT24524B",NA,NA,NA,NA,NA,NA,NA,71.38408693,190228,3.15858791725664,5.01138357325578,0.322571663543387
"197","SPT24524B",NA,NA,NA,NA,NA,NA,NA,76.14187256,190228,3.09519807154472,4.95322819816487,0.323080718636619
"201","SPT2454D",NA,504.8919732,181206,61.5721918536585,26.2749892156193,-26.9819780066381,0.0769216253598103,74.43870679,190208,3.2364655126087,6.39724977087384,0.283111080454357
"202","SPT2454D",NA,538.4975877,181206,64.8792274337349,25.4787880486509,-27.0816230307517,0.0772348632424976,60.5892313,190208,2.81810378139535,6.0327946247172,0.283469282133234
"208","SPT26024C",NA,NA,NA,NA,NA,NA,NA,89.95967581,190214,3.89435826017316,6.3727509224587,0.353266889294808
"209","SPT26024C",NA,393.2407818,181213,49.15509773,20.41080772,-27.32792464,0.100798374,NA,NA,NA,NA,NA
"210","SPT26024C",NA,447.0379862,181213,59.60506483,20.27505336,-27.45967096,0.1010861,NA,NA,NA,NA,NA
"213","SPT2604C",NA,517.3087491,181213,63.08643282,22.58707771,-27.30885284,0.100757007,NA,NA,NA,NA,NA
"214","SPT2604C",NA,NA,NA,NA,NA,NA,NA,74.40183734,190214,3.50952062924528,6.32127172253633,0.353611487877167
"215","SPT2604C",NA,NA,NA,NA,NA,NA,NA,77.62249515,190214,3.56066491513761,5.93243061023758,0.356387292409813
"221","SPT30024C",NA,549.4594712,181219,67.83450262,17.17590652,-26.9435985,0.073286261,142.9771808,190222,5.76520890322581,6.17092269805305,0.242697156041899
"222","SPT30024C",NA,500.718978,181219,63.38214911,18.0897921,-26.81993537,0.072970326,136.5525137,190222,5.50614974596774,6.0315620616566,0.243323810033659
"231","WHXX3",NA,NA,NA,NA,NA,NA,NA,89.45702728,190228,2.29376993025641,3.25476033878855,0.339558108588932
"232","WHXX3",NA,262.4426969,190308,25.9844254356436,33.4491174083199,-25.0224240740933,0.072810502409529,NA,NA,NA,NA,NA
"233","WHXX3",NA,310.8923334,190308,31.08923334,32.5644884505884,-25.0206860618929,0.0728095874998036,NA,NA,NA,NA,NA
